date,description,amount,category.name,category.parentName
2022-10-25,ITR PORTAGE TOLLS,-1.2,Travel,Root
2022-10-25,OHIO TURNPIKE,-5.75,Travel,Root
2022-10-25,MARIANOS #522,-58.12,Groceries,Food & Dining
2022-10-25,SKYWAY CONCESSIONS,-5.9,Restaurants,Food & Dining
2022-10-25,ITR MICHIGAN CITY TOLLS,-8.8,Travel,Root
2022-10-25,BAYMONT BY WYNDHAM,-146.53,Hotel,Travel
2022-10-25,STARBUCKS 15622 390070,-10.19,Coffee Shops,Food & Dining
2022-10-25,MARIANOS 522,-4.55,Groceries,Food & Dining
2022-10-25,SHEETZ 0635   00006353,-14.06,Gas & Fuel,Auto & Transport
2022-10-24,OHIO TURNPIKE,-13.25,Travel,Root
2022-10-24,SHANDYGAFF,-18.0,Alcohol & Bars,Food & Dining
2022-10-24,SHELL OIL XXXXXXXXXX,-45.81,Gas & Fuel,Auto & Transport
2022-10-24,FRICKERS PERRYSBURG 10,-46.83,Restaurants,Food & Dining
2022-10-24,PENN STATE UNIVERSITY,-15.0,Restaurants,Food & Dining
2022-10-23,SHEETZ 0301   00003012,-4.68,Gas & Fuel,Auto & Transport
2022-10-23,PERKINS RESTAURANT 250,-47.33,Restaurants,Food & Dining
2022-10-23,SQ *EVENT MANAGEMENT SOLU,-24.0,Alcohol & Bars,Food & Dining
2022-10-23,OHIO TURNPIKE,-15.0,Travel,Root
2022-10-23,SQ *EVENT MANAGEMENT SOLU,-28.0,Alcohol & Bars,Food & Dining
2022-10-23,SHANDYGAFF,-12.0,Alcohol & Bars,Food & Dining
2022-10-23,SQ *EVENT MANAGEMENT SOLU,-24.0,Alcohol & Bars,Food & Dining
2022-10-23,SNACK* PENN KEBAB,-24.38,Fast Food,Food & Dining
2022-10-23,SQ *EVENT MANAGEMENT SOLU,-28.0,Alcohol & Bars,Food & Dining
2022-10-23,RAISING CANE'S 0732,-24.2,Restaurants,Food & Dining
2022-10-22,Take some back,-10.0,Restaurants,Food & Dining
2022-10-22,food back,-17.0,Food & Dining,Root
2022-10-22,Food,17.0,Income,Root
2022-10-22,Beer & cover,20.0,Income,Root
2022-10-22,COUNTRY GARDEN,-57.41,Fast Food,Food & Dining
2022-10-21,BP#9793142SNAPPY 3 QPS,-10.28,Gas & Fuel,Auto & Transport
2022-10-21,BP#9793142SNAPPY 3,-66.43,Gas & Fuel,Auto & Transport
2022-10-21,ITR EASTPOINT TOLLS,-3.6,Travel,Root
2022-10-21,BP#9793142SNAPPY 3 QPS,-2.88,Gas & Fuel,Auto & Transport
2022-10-21,CHIPOTLE 2408,-10.3,Fast Food,Food & Dining
2022-10-21,ITR CONCESSION COMPANY,-3.5,Fast Food,Food & Dining
2022-10-21,SKYWAY CONCESSIONS,-5.9,Restaurants,Food & Dining
2022-10-20,TRAVELURO HOTEL BKNG,-90.0,Hotel,Travel
2022-10-19,LWKS SOFTWARE LTD,-23.99,Electronics & Software,Shopping
2022-10-18,ACH Deposit Internet transfer from account ending in 0320,350.2,Transfer,Root
2022-10-18,APPLE.COM/BILL,-1.99,Electronics & Software,Shopping
2022-10-18,JAMES AND SONS - CHICAGO,-325.0,Hotel,Travel
2022-10-17,VENTRA VENDING 13412,-5.0,Public Transportation,Auto & Transport
2022-10-17,TST* URBANSPACE - THE PER,-20.88,Restaurants,Food & Dining
2022-10-17,CHIPOTLE 0308,-14.86,Fast Food,Food & Dining
2022-10-17,PUNCH BOWL SOCIAL CHICAGO,-25.35,Alcohol & Bars,Food & Dining
2022-10-17,PUNCH BOWL SOCIAL CHICAGO,-39.24,Alcohol & Bars,Food & Dining
2022-10-17,PUNCH BOWL SOCIAL CHICAGO,-74.58,Alcohol & Bars,Food & Dining
2022-10-16,STARBUCKS STORE 09909,-9.57,Coffee Shops,Food & Dining
2022-10-16,On Inc,-154.34,Clothing,Shopping
2022-10-16,MARIANOS 522,-18.11,Groceries,Food & Dining
2022-10-16,ACH Deposit Internet transfer from account ending in 4722,72.63,Transfer,Root
2022-10-16,VENTRA MOBILE,-5.0,Public Transportation,Auto & Transport
2022-10-16,VENTRA VENDING 02702,-3.0,Public Transportation,Auto & Transport
2022-10-16,TARGET        00023739,-41.88,Shopping,Root
2022-10-15,MARIANOS #522,-40.42,Groceries,Food & Dining
2022-10-14,ROSS STORES #1910,-37.55,Clothing,Shopping
2022-10-14,MARIANOS #522,-15.52,Groceries,Food & Dining
2022-10-14,MARIANOS #522,-2.62,Groceries,Food & Dining
2022-10-14,VENTRA MOBILE,-5.0,Public Transportation,Auto & Transport
